season,number,production_code,episode_title,guest_star,role
9,186–908,5F05,Lisa the Skeptic,Stephen Jay Gould,Himself
9,188–910,5F07,Miracle on Evergreen Terrace,Alex Trebek,Himself
9,193–915,5F10,The Last Temptation of Krust,Bruce Baum,Himself
9,193–915,5F10,The Last Temptation of Krust,Janeane Garofalo,Herself
9,193–915,5F10,The Last Temptation of Krust,Bobcat Goldthwait,Himself
9,193–915,5F10,The Last Temptation of Krust,Jay Leno,Himself
9,193–915,5F10,The Last Temptation of Krust,Steven Wright,Himself
9,197–919,3G04,Simpson Tide,Bob Denver,Himself
9,200–922,5F09,Trash of the Titans,Paul McGuinness,Himself
9,200–922,5F09,Trash of the Titans,Susie Smith,Herself
10,207–1004,AABF01,Treehouse of Horror IX,Ed McMahon,Himself
10,207–1004,AABF01,Treehouse of Horror IX,Jerry Springer,Himself
10,208–1005,5F19,When You Dish Upon a Star,Alec Baldwin,Himself
10,208–1005,5F19,When You Dish Upon a Star,Kim Basinger,Herself
10,208–1005,5F19,When You Dish Upon a Star,Brian Grazer,Himself
10,208–1005,5F19,When You Dish Upon a Star,Ron Howard,Himself
10,214–1011,AABF07,Wild Barts Can't Be Broken,Cyndi Lauper,Herself
10,214–1011,AABF07,Wild Barts Can't Be Broken,Franklin D. Roosevelt (archival),Himself
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Troy Aikman,Himself
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Rosey Grier,Himself
10,215–1012,AABF08,"Sunday, Cruddy Sunday",John Madden,Himself
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Dan Marino,Himself
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Rupert Murdoch,Himself
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Dolly Parton,Herself
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Pat Summerall,Himself
10,216–1013,AABF09,Homer to the Max,"Ed Begley, Jr.",Himself
10,217–1014,AABF11,I'm with Cupid,Elton John,Himself
10,222–1019,AABF15,Mom and Pop Art,Jasper Johns,Himself
10,223–1020,AABF16,"The Old Man and the ""C"" Student",Jack LaLanne,Himself
10,225–1022,AABF18,They Saved Lisa's Brain,Stephen Hawking,Himself
11,227–1101,AABF23,Beyond Blunderdome,Mel Gibson,Himself
11,228–1102,AABF22,Brother's Little Helper,Mark McGwire,Himself
11,230–1104,BABF01,Treehouse of Horror X,Tom Arnold,Himself
11,230–1104,BABF01,Treehouse of Horror X,Dick Clark,Himself
11,230–1104,BABF01,Treehouse of Horror X,Lucy Lawless,Herself
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Ron Howard,Himself
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Penn Jillette,Himself
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Pat O'Brien,Himself
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Nancy O'Dell,Herself
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Teller,Himself
11,233–1107,BABF03,Eight Misbehavin',Butch Patrick,Himself
11,234–1108,BABF05,"Take My Wife, Sleaze",Jay North,Himself
11,235–1109,BABF07,Grift of the Magi,Gary Coleman,Himself
11,238–1112,BABF08,The Mansion Family,Britney Spears,Herself
11,239–1113,BABF09,Saddlesore Galactica,Randy Bachman,Himself
11,239–1113,BABF09,Saddlesore Galactica,Fred Turner,Himself
11,241–1115,BABF11,Missionary: Impossible,Betty White,Herself
11,245–1119,BABF16,Kill the Alligator and Run,Joe C.,Himself
11,245–1119,BABF16,Kill the Alligator and Run,Robert Evans,Himself
11,245–1119,BABF16,Kill the Alligator and Run,Kid Rock,Himself
11,245–1119,BABF16,Kill the Alligator and Run,Charlie Rose,Himself
11,248–1122,BABF19,Behind the Laughter,Willie Nelson,Himself
12,250–1202,BABF20,A Tale of Two Springfields,Gary Coleman,Himself
12,251–1203,BABF17,Insane Clown Poppy,Stephen King,Himself
12,251–1203,BABF17,Insane Clown Poppy,Amy Tan,Herself
12,251–1203,BABF17,Insane Clown Poppy,John Updike,Himself
12,253–1205,CABF04,Homer vs. Dignity,Leeza Gibbons,Herself
12,258–1210,CABF05,Pokey Mom,Bruce Vilanch,Himself
12,259–1211,CABF08,Worst Episode Ever,Neil Armstrong (archival),Himself
12,259–1211,CABF08,Worst Episode Ever,Johnnie Cochran (archival),Himself
12,259–1211,CABF08,Worst Episode Ever,Richard Nixon (archival),Himself
12,259–1211,CABF08,Worst Episode Ever,Tom Savini,Himself
12,260–1212,CABF07,Tennis the Menace,Andre Agassi,Himself
12,260–1212,CABF07,Tennis the Menace,Pete Sampras,Himself
12,260–1212,CABF07,Tennis the Menace,Serena Williams,Herself
12,260–1212,CABF07,Tennis the Menace,Venus Williams,Herself
12,261–1213,CABF10,Day of the Jackanapes,Gary Coleman,Himself
13,274–1305,CABF21,The Blunder Years,Paul Newman,Himself
13,274–1305,CABF21,The Blunder Years,Judith Owen,Herself
13,275–1306,DABF02,She of Little Faith,Richard Gere,Himself
13,280–1311,DABF06,The Bart Wants What It Wants,Wolfgang Puck,Himself
13,287–1318,DABF13,I Am Furious (Yellow),Stan Lee,Himself
13,288–1319,DABF14,The Sweetest Apu,James Lipton,Himself
13,289–1320,DABF15,Little Girl in the Big Ten,Robert Pinsky,Himself
13,290–1321,DABF16,The Frying Game,Carmen Electra,Herself
14,293–1402,DABF22,How I Spent My Strummer Vacation,Elvis Costello,Himself
14,293–1402,DABF22,How I Spent My Strummer Vacation,Mick Jagger,Himself
14,293–1402,DABF22,How I Spent My Strummer Vacation,Lenny Kravitz,Himself
14,293–1402,DABF22,How I Spent My Strummer Vacation,Tom Petty,Himself
14,293–1402,DABF22,How I Spent My Strummer Vacation,Keith Richards,Himself
14,293–1402,DABF22,How I Spent My Strummer Vacation,Brian Setzer,Himself
14,296–1405,DABF21,Helter Shelter,Larry Holmes,Himself
14,296–1405,DABF21,Helter Shelter,David Lander,Himself
14,298–1407,EABF02,Special Edna,Little Richard,Himself
14,299–1408,EABF03,The Dad Who Knew Too Little,Elliott Gould,Himself
14,301–1410,EABF06,Pray Anything,Ken Burns,Himself
14,301–1410,EABF06,Pray Anything,Lisa Leslie,Herself
14,302–1411,EABF05,Barting Over,Tony Hawk,Himself
14,303–1412,EABF07,I'm Spelling as Fast as I Can,George Plimpton,Himself
14,304–1413,EABF08,A Star Is Born Again,James L. Brooks,Himself
14,304–1413,EABF08,A Star Is Born Again,Helen Fielding,Herself
14,308–1417,EABF12,Three Gays of the Condo,Ben Schatz,Himself
14,308–1417,EABF12,Three Gays of the Condo,Weird Al Yankovic,Himself
14,309–1418,EABF13,"Dude, Where's My Ranch?",David Byrne,Himself
14,311–1420,EABF15,"Brake My Wife, Please",Jackson Browne,Himself
14,311–1420,EABF15,"Brake My Wife, Please",Steve Buscemi,Himself
15,314–1501,EABF21,Treehouse of Horror XIV,Oscar De La Hoya,Himself
15,314–1501,EABF21,Treehouse of Horror XIV,Jennifer Garner,Herself
15,314–1501,EABF21,Treehouse of Horror XIV,Dudley R. Herschbach,Himself
15,316–1503,EABF20,The President Wore Pearls,Michael Moore,Himself
15,317–1504,EABF22,The Regina Monologues,Tony Blair,Himself
15,317–1504,EABF22,The Regina Monologues,Evan Marriott,Himself
15,317–1504,EABF22,The Regina Monologues,Ian McKellen,Himself
15,317–1504,EABF22,The Regina Monologues,J. K. Rowling,Herself
15,319–1506,FABF01,Today I Am A Clown,Mr. T,Himself
15,323–1510,FABF05,Diatribe of a Mad Housewife,Tom Clancy,Himself
15,323–1510,FABF05,Diatribe of a Mad Housewife,Ashley Olsen,Herself
15,323–1510,FABF05,Diatribe of a Mad Housewife,Mary-Kate Olsen,Herself
15,323–1510,FABF05,Diatribe of a Mad Housewife,Thomas Pynchon,Himself
15,325–1512,FABF07,Milhouse Doesn't Live Here Anymore,Isabel Sanford,Herself
15,330–1517,FABF12,My Big Fat Geek Wedding,Matt Groening,Himself
15,332–1519,FABF15,Simple Simpson,Nichelle Nichols,Herself
16,337–1602,FABF20,All's Fair in Oven War,James Caan,Himself
16,337–1602,FABF20,All's Fair in Oven War,Thomas Pynchon,Himself
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,Tom Brady,Himself
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,LeBron James,Himself
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,Michelle Kwan,Herself
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,Warren Sapp,Himself
16,343–1608,GABF02,Homer and Ned's Hail Mary Pass,Yao Ming,Himself
16,344–1609,GABF03,Pranksta Rap,50 Cent,Himself
16,346–1611,GABF05,On a Clear Day I Can't See My Sister,Gary Busey,Himself
16,347–1612,GABF06,Goo Goo Gai Pan,Robert Wagner,Himself
16,349–1614,GABF08,The Seven-Beer Snitch,Frank Gehry,Himself
16,351–1616,GABF10,Don't Fear the Roofer,Stephen Hawking,Himself
16,355–1620,GABF15,Home Away from Homer,Jason Bateman,Himself
17,360–1704,GABF17,Treehouse of Horror XVI,Terry Bradshaw,Himself
17,360–1704,GABF17,Treehouse of Horror XVI,Dennis Rodman,Himself
17,366–1710,HABF03,Homer's Paternity Coot,Joe Frazier,Himself
17,366–1710,HABF03,Homer's Paternity Coot,William H. Macy,Himself
17,370–1714,HABF07,Bart Has Two Mommies,Randy Johnson,Himself
17,370–1714,HABF07,Bart Has Two Mommies,Susan Sarandon,Herself
17,372–1716,HABF09,Million Dollar Abie,Rob Reiner,Himself
17,373–1717,HABF10,"Kiss Kiss, Bang Bangalore",Richard Dean Anderson,Himself
17,376–1720,HABF13,Regarding Margie,Sal Bando,Himself
17,376–1720,HABF13,Regarding Margie,Gene Tenace,Himself
17,377–1721,HABF14,The Monkey Suit,Melanie Griffith,Herself
18,382–1804,HABF17,Treehouse of Horror XVII,Phil McGraw,Himself
18,384–1806,HABF19,Moe'N'a Lisa,Michael Chabon,Himself
18,384–1806,HABF19,Moe'N'a Lisa,Jonathan Franzen,Himself
18,384–1806,HABF19,Moe'N'a Lisa,Gore Vidal,Himself
18,384–1806,HABF19,Moe'N'a Lisa,Tom Wolfe,Himself
18,387–1809,JABF01,"Kill Gil, Volumes I & II",Elvis Stojko,Himself
18,392–1814,JABF09,Yokel Chords,Andy Dick,Himself
18,392–1814,JABF09,Yokel Chords,James Patterson,Himself
18,392–1814,JABF09,Yokel Chords,Stephen Sondheim,Himself
18,394–1816,JABF06,Homerazzi,Betty White,Herself
18,395–1817,JABF10,Marge Gamer,Ronaldo,Himself
18,398–1818,JABF12,Stop or My Dog Will Shoot,Rudy Giuliani,Himself
18,398–1818,JABF12,Stop or My Dog Will Shoot,Stephen Hawking,Himself
18,400–1822,JABF15,You Kent Always Say What You Want,Ludacris,Himself
Movie,M1,—,The Simpsons Movie,Tom Hanks,Himself
19,401–1901,JABF20,He Loves to Fly and He D'ohs,Lionel Richie,Himself
19,402–1902,JABF18,Homer of Seville,Plácido Domingo,Himself
19,404–1904,JABF19,I Don't Wanna Know Why the Caged Bird Sings,Ted Nugent,Himself
19,407–1907,JABF17,Husbands and Knives,Daniel Clowes,Himself
19,407–1907,JABF17,Husbands and Knives,Alan Moore,Himself
19,407–1907,JABF17,Husbands and Knives,Art Spiegelman,Himself
19,408–1908,KABF01,Funeral for a Fiend,Keith Olbermann,Himself
19,410–1910,KABF03,E Pluribus Wiggum,Dan Rather,Himself
19,410–1910,KABF03,E Pluribus Wiggum,Jon Stewart,Himself
19,411–1911,KABF04,That '90s Show,Kurt Loder,Himself
19,411–1911,KABF04,That 90's Show,Weird Al Yankovic,Himself
19,413–1913,KABF06,The Debarted,Terry Gross,Herself
19,418–1918,KABF11,Any Given Sundance,Jim Jarmusch,Himself
19,418–1918,KABF11,Any Given Sundance,John C. Reilly,Himself
19,419–1919,KABF12,Mona Leaves-a,Lance Armstrong,Himself
19,420–1920,KABF13,All About Lisa,Drew Carey,Himself
20,422–2002,KABF15,Lost Verizon,Brian Grazer,Himself
20,422–2002,KABF15,Lost Verizon,Denis Leary,Himself
20,423–2003,KABF14,"Double, Double, Boy in Trouble",Joe Montana,Himself
20,426–2006,KABF19,Homer and Lisa Exchange Cross Words,Merl Reagle,Himself
20,426–2006,KABF19,Homer and Lisa Exchange Cross Words,Will Shortz,Himself
20,428–2008,KABF21,The Burns and the Bees,Marv Albert,Himself
20,428–2008,KABF21,The Burns and the Bees,Jeff Bezos,Himself
20,428–2008,KABF21,The Burns and the Bees,Mark Cuban,Himself
20,433–2013,LABF04,Gone Maggie Gone,"Ed Begley, Jr.",Himself
21,442–2101,LABF13,Homer the Whopper,Matt Groening,Himself
21,444–2103,LABF16,The Great Wife Hope,Chuck Liddell,Himself
21,449–2108,MABF01,"O Brother, Where Bart Thou?",Huell Howser,Himself
21,449–2108,MABF01,"O Brother, Where Bart Thou?",Cooper Manning,Himself
21,449–2108,MABF01,"O Brother, Where Bart Thou?",Eli Manning,Himself
21,449–2108,MABF01,"O Brother, Where Bart Thou?",Peyton Manning,Himself
21,450–2109,MABF02,Thursdays with Abie,Mitch Albom,Himself
21,451–2110,LABF20,Once Upon a Time in Springfield,Eartha Kitt,Herself
21,451–2110,LABF20,Once Upon a Time in Springfield,Gary Larson,Himself
21,452–2111,MABF03,Million Dollar Maybe,Chris Martin,Himself
21,453–2112,MABF05,Boy Meets Curl,Bob Costas,Himself
21,462–2121,MABF13,Moe Letter Blues,Don Pardo,Himself
21,464–2123,MABF15,Judge Me Tender,Simon Cowell,Himself
21,464–2123,MABF15,Judge Me Tender,Ellen DeGeneres,Herself
21,464–2123,MABF15,Judge Me Tender,Kara DioGuardi,Herself
21,464–2123,MABF15,Judge Me Tender,Randy Jackson,Himself
21,464–2123,MABF15,Judge Me Tender,Rupert Murdoch,Himself
21,464–2123,MABF15,Judge Me Tender,Ryan Seacrest,Himself
22,465–2201,MABF21,Elementary School Musical,Ira Glass,Himself
22,465–2201,MABF21,Elementary School Musical,Stephen Hawking,Himself
22,466–2202,MABF17,Loan-a Lisa,Chris Hansen,Himself
22,466–2202,MABF17,Loan-a Lisa,Muhammad Yunus,Himself
22,466–2202,MABF17,Loan-a Lisa,Mark Zuckerberg,Himself
22,467–2203,MABF18,MoneyBART,Bill James,Himself
22,467–2203,MABF18,MoneyBART,Mike Scioscia,Himself
22,471–2207,NABF02,How Munched is That Birdie in the Window?,Danica Patrick,Herself
22,472–2208,MABF22,The Fight Before Christmas,Martha Stewart,Herself
22,476–2212,NABF05,Homer the Father,James Lipton,Himself
22,476–2212,NABF05,Homer the Father,David Mamet,Himself
22,478–2214,NABF07,Angry Dad: The Movie,Halle Berry,Herself
22,478–2214,NABF07,Angry Dad: The Movie,Russell Brand,Himself
22,478–2214,NABF07,Angry Dad: The Movie,Ricky Gervais,Himself
22,478–2214,NABF07,Angry Dad: The Movie,Nick Park,Himself
22,480–2216,NABF09,A Midsummer's Nice Dream,Tommy Chong,Himself
22,480–2216,NABF09,A Midsummer's Nice Dream,Cheech Marin,Himself
22,481–2217,NABF10,Love Is a Many Strangled Thing,Kareem Abdul-Jabbar,Himself
22,482–2218,NABF11,The Great Simpsina,David Copperfield,Himself
22,482–2218,NABF11,The Great Simpsina,Ricky Jay,Himself
22,482–2218,NABF11,The Great Simpsina,Penn Jillette,Himself
22,482–2218,NABF11,The Great Simpsina,Teller,Himself
22,486–2222,NABF15,The Ned-Liest Catch,Ken Burns,Himself
22,486–2222,NABF15,The Ned-Liest Catch,Joey Kramer,Himself
23,487–2301,NABF16,The Falcon and the D'ohman,Tom Colicchio,Himself
23,488–2302,NABF17,Bart Stops to Smell the Roosevelts,Theodore Roosevelt (archival),Himself
23,491–2305,NABF20,The Food Wife,Mario Batali,Himself
23,491–2305,NABF20,The Food Wife,Anthony Bourdain,Himself
23,491–2305,NABF20,The Food Wife,Gordon Ramsay,Himself
23,492–2306,NABF22,The Book Job,Neil Gaiman,Himself
23,494–2308,PABF02,The Ten-Per-Cent Solution,Kevin Dillon,Himself
23,494–2308,PABF02,The Ten-Per-Cent Solution,Janeane Garofalo,Herself
23,496–2310,PABF03,"Politically Inept, with Homer Simpson",Ted Nugent,Himself
23,497–2311,PABF04,The D'oh-cial Network,David Letterman,Himself
23,499–2313,PABF06,The Daughter Also Rises,Jamie Hyneman,Himself
23,499–2313,PABF06,The Daughter Also Rises,Adam Savage,Himself
23,500–2314,PABF07,At Long Last Leave,Julian Assange,Himself
23,501–2315,PABF09,Exit Through the Kwik-E-Mart,Robbie Conal,Himself
23,501–2315,PABF09,Exit Through the Kwik-E-Mart,Ron English,Himself
23,501–2315,PABF09,Exit Through the Kwik-E-Mart,Shepard Fairey,Himself
23,501–2315,PABF09,Exit Through the Kwik-E-Mart,Kenny Scharf,Himself
23,505–2319,PABF12,A Totally Fun Thing That Bart Will Never Do Again,Treat Williams,Himself
23,508–2322,PABF14,Lisa Goes Gaga,Lady Gaga,Herself
24,509–2401,PABF21,Moonshine River,Don Pardo,Himself
24,509–2401,PABF21,Moonshine River,Al Roker,Himself
24,511–2403,PABF18,Adventures in Baby-Getting,Jeff Gordon,Himself
24,512–2404,PABF15,Gone Abie Gone,Marvin Hamlisch,Himself
24,512–2404,PABF15,Gone Abie Gone,Jennifer Tilly,Herself
24,513–2405,PABF19,Penny-Wiseguys,Alex Trebek,Himself
24,515–2407,PABF20,The Day the Earth Stood Cool,Colin Meloy,Himself
24,520–2412,RABF07,Love is a Many-Splintered Thing,Robert A. Caro,Himself
24,520–2412,RABF07,Love is a Many-Splintered Thing,Max Weinberg,Himself
24,523–2415,RABF09,"Black Eyed, Please",Richard Dawkins,Himself
24,524–2416,RABF10,Dark Knight Court,Janet Reno,Herself
24,527–2419,RABF13,Whiskey Business,Sonny Rollins,Himself
24,528–2420,RABF12,The Fabulous Faker Boy,Justin Bieber,Himself
25,533–2503,RABF18,Four Regrettings and a Funeral,Rachel Maddow,Herself
25,533–2503,RABF18,Four Regrettings and a Funeral,Joe Namath,Himself
25,536–2506,SABF02,The Kid Is All Right,Anderson Cooper,Himself
25,539–2509,SABF05,Steal This Episode,Judd Apatow,Himself
25,539–2509,SABF05,Steal This Episode,Rob Halford,Himself
25,539–2509,SABF05,Steal This Episode,Leslie Mann,Herself
25,539–2509,SABF05,Steal This Episode,Seth Rogen,Himself
25,539–2509,SABF05,Steal This Episode,Paul Rudd,Himself
25,540–2510,SABF03,Married to the Blob,Harlan Ellison,Himself
25,540–2510,SABF03,Married to the Blob,Stan Lee,Himself
25,541–2511,SABF06,Specs and the City,Will Lyman,Himself
25,546–2516,SABF11,You Don't Have to Live Like a Referee,Andrés Cantor,Himself
25,551–2521,SABF15,Pay Pal,Carl Kasell,Himself
25,551–2521,SABF15,Pay Pal,Peter Sagal,Himself
25,552–2522,SABF18,The Yellow Badge of Cowardge,Edwin Moses,Himself
26,553–2601,SABF20,Clown in the Dumps,David Hyde Pierce,Himself
26,553–2601,SABF20,Clown in the Dumps,Jeff Ross,Himself
26,553–2601,SABF20,Clown in the Dumps,Sarah Silverman,Herself
26,557–2605,SABF22,Opposites A-Frack,Robert Siegel,Himself
26,559–2607,TABF01,Blazed and Confused,David Silverman,Himself
26,560–2608,TABF02,Covercraft,Sammy Hagar,Himself
26,564–2612,TABF04,The Musk Who Fell To Earth,Elon Musk,Himself
26,565–2613,TABF06,Walking Big & Tall,Pharrell Williams,Himself
26,567–2615,TABF08,The Princess Guide,Richard Branson,Himself
26,569–2617,TABF10,Waiting for Duffman,Cat Deeley,Herself
26,573–2621,TABF15,Bull-E,Johnny Mathis,Himself
27,576–2702,TABF17,'Cue Detective,Alton Brown,Himself
27,577–2703,TABF19,Puffless,Yo-Yo Ma,Himself
27,580–2706,TABF21,Friend With Benefit,David Copperfield,Himself
27,588–2714,VABF06,Gal of Constant Sorrow,Bob Boilen,Himself
27,591–2717,VABF10,The Burns Cage,George Takei,Himself
27,592–2718,VABF11,How Lisa Got Her Marge Back,Andrew Rannells,Himself
27,594–2720,VABF14,To Courier with Love,Jay Leno,Himself
28,599–2803,VABF17,The Town,Doris Kearns Goodwin,Herself
28,600–2804,VABF16,Treehouse of Horror XXVII,Drew Carey,Himself
28,600–2804,VABF16,Treehouse of Horror XXVII,Donald Fagen,Himself
28,601–2805,VABF21,Trust But Clarify,Dan Rather,Himself
28,604–2808,WABF01,Dad Behavior,Matt Leinart,Himself
28,606–2810,WABF02,The Nightmare After Krustmas,Wayne Gretzky,Himself
28,606–2810,WABF02,The Nightmare After Krustmas,Theo Jansen,Himself
28,607–2811,WABF06,Pork and Burns,Joyce Carol Oates,Herself
28,608–2812; 609–2813,WABF04; WABF05,The Great Phatsby,Charles Barkley,Himself
28,608–2812; 609–2813,WABF04; WABF05,The Great Phatsby,Common,Himself
28,608–2812; 609–2813,WABF04; WABF05,The Great Phatsby,Snoop Dogg,Himself
28,608–2812; 609–2813,WABF04; WABF05,The Great Phatsby,RZA,Himself
28,611–2815,WABF08,The Cad and the Hat,Magnus Carlsen,Himself
28,613–2817,WABF10,22 for 30,Stephen Curry,Himself
28,614–2818,WABF11,A Father's Watch,Adam Silver,Himself
28,615–2819,WABF12,The Caper Chase,Ken Jennings,Himself
28,615–2819,WABF12,The Caper Chase,Stan Lee,Himself
28,615–2819,WABF12,The Caper Chase,Robert McKee,Himself
28,615–2819,WABF12,The Caper Chase,Suze Orman,Herself
28,615–2819,WABF12,The Caper Chase,Neil deGrasse Tyson,Himself
29,620–2902,WABF22,Springfield Splendor,Alison Bechdel,Herself
29,620–2902,WABF22,Springfield Splendor,Roz Chast,Herself
29,620–2902,WABF22,Springfield Splendor,Dan Harmon,Himself
29,620–2902,WABF22,Springfield Splendor,Marjane Satrapi,Herself
29,622–2904,WABF18,Treehouse of Horror XXVIII,Mario Batali,Himself
29,626–2908,XABF01,Mr. Lisa's Opus,Norman Lear,Himself
29,627–2909,XABF02,Gone Boy,John F. Kennedy (archival),Himself
29,627–2909,XABF02,Gone Boy,Shaquille O'Neal,Himself
29,631–2913,XABF06,3 Scenes Plus a Tag from a Marriage,John Baldessari,Himself
29,632–2914,XABF08,Fears of a Clown,Damian Kulash,Himself
29,632–2914,XABF08,Fears of a Clown,Tim Nordwind,Himself
29,633–2915,XABF07,No Good Read Goes Unpunished,Daniel Radcliffe,Himself
29,635–2917,XABF11,Lisa Gets the Blues,Trombone Shorty,Himself
30,642–3003,XABF17,My Way or the Highway to Heaven,Jon Lovitz,Himself
30,642–3003,XABF17,My Way or the Highway to Heaven,Tracy Morgan,Himself
30,646–3007,XABF21,Werking Mom,Sutan Amrull,Himself
30,650–3011,YABF03,Mad About the Toy,Bill de Blasio,Himself
30,650–3011,YABF03,Mad About the Toy,Lawrence O'Donnell,Himself
30,651–3012,YABF04,The Girl on the Bus,Terry Gross,Herself
30,652–3013,YABF06,I'm Dancing as Fat as I Can,Ted Sarandos,Himself
30,653–3014,YABF05,The Clown Stays in the Picture,Marc Maron,Himself
30,654–3015,YABF07,101 Mitigations,Guillermo del Toro,Himself
30,659–3020,YABF12,I'm Just a Girl Who Can't Say D'oh,John Lithgow,Himself
30,660–3021,YABF14,D'oh Canada,Judy Blume,Herself
30,661–3022,YABF15,Woo-Hoo Dunnit?,Ken Burns,Himself
